trip_id,start_time,end_time,headway_secs,exact_times
weekday_P1050_P105002_0,06:30:00,09:10:00,1200,0
weekday_P1050_P105002_1,09:50:00,12:30:00,2400,0
weekday_P1050_P105002_2,13:10:00,15:50:00,2400,0
weekday_P1050_P105002_3,16:20:00,18:20:00,1200,0
weekday_P1050_P105002_4,18:40:00,20:00:00,2400,0
weekday_S2000_S200002_0,06:00:00,08:00:00,900,0
weekday_S2000_S200002_1,08:20:00,22:00:00,1200,0
weekend_S2000_S200002_0,06:00:00,08:00:00,900,0
weekend_S2000_S200002_1,08:20:00,22:00:00,1200,0
weekend_S4050_S405002_0,06:00:00,06:40:00,1200,0
weekend_S4050_S405002_1,07:10:00,07:15:00,1800,0
weekend_S4050_S405002_2,07:30:00,22:00:00,1800,0
weekend_P1050_P105002_0,07:00:00,08:30:00,2700,0
weekend_P1050_P105002_1,09:15:00,12:15:00,2700,0
weekend_P1050_P105002_2,13:00:00,16:45:00,2700,0
weekend_P1050_P105002_3,17:30:00,20:00:00,3000,0
weekday_S0131_S013102_0,06:00:00,08:40:00,2400,0
weekday_S0131_S013102_1,09:40:00,11:40:00,3600,0
weekday_S0131_S013102_2,12:20:00,13:40:00,2400,0
weekday_S0131_S013102_3,14:40:00,16:40:00,3600,0
weekday_S0131_S013102_4,17:20:00,20:00:00,2400,0
weekday_S0131_S013102_5,21:00:00,22:00:00,3600,0
weekday_S0131_S013101_6,06:00:00,06:25:00,3600,0
weekend_S0131_S013102_0,06:00:00,08:40:00,2400,0
weekend_S0131_S013102_1,09:40:00,11:40:00,3600,0
weekend_S0131_S013102_2,12:20:00,13:40:00,2400,0
weekend_S0131_S013102_3,14:40:00,16:40:00,3600,0
weekend_S0131_S013102_4,17:20:00,20:00:00,2400,0
weekend_S0131_S013102_5,21:00:00,22:00:00,3600,0
weekend_S0131_S013101_6,06:00:00,06:25:00,3600,0
weekday_P1060_P106002_0,06:30:00,07:50:00,1200,0
weekday_P1060_P106002_1,08:10:00,08:50:00,1200,0
weekday_P1060_P106002_2,09:10:00,10:30:00,2400,0
weekday_P1060_P106002_3,11:10:00,15:50:00,2400,0
weekday_P1060_P106002_4,16:20:00,18:20:00,1200,0
weekday_P1060_P106002_5,18:40:00,20:00:00,2400,0
weekend_P1060_P106002_0,07:00:00,08:30:00,2700,0
weekend_P1060_P106002_1,09:15:00,12:15:00,2700,0
weekend_P1060_P106002_2,13:00:00,16:45:00,2700,0
weekend_P1060_P106002_3,17:30:00,20:00:00,3000,0
weekday_P1080_P108002_0,06:30:00,09:10:00,1200,0
weekday_P1080_P108002_1,09:50:00,12:30:00,2400,0
weekday_P1080_P108002_2,13:10:00,15:50:00,2400,0
weekday_P1080_P108002_3,16:20:00,18:20:00,1200,0
